Comment,Designator,Footprint,LCSC,Quantity
BOOT button,SW1,Button_TL3342,C115351,1
LED_SK6812MINI,"LED1,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED2,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED3,LED30,LED31,LED32,LED33,LED34,LED35,LED36,LED4,LED5,LED6,LED7,LED8,LED9",LED_SK6812MINI,C5149201,36
Keyswitch,S3,Choc_V1_1.00u,,1
Keyswitch,S8,Hotswap_MX_1.75u,,1
Keyswitch,S18,Hotswap_MX_1.00u,,1
Pico,U1,RPi_Pico_SMD_TH,,1
Keyswitch,S6,Hotswap_MX_1.00u,,1
Keyswitch,S32,Hotswap_MX_2.00u,,1
TRRS,U3,TRRS_PJ-320A,,1
Keyswitch,S33,Hotswap_MX_1.50u,,1
Keyswitch,S25,Hotswap_MX_1.00u,,1
Keyswitch,S5,Hotswap_MX_1.00u,,1
Keyswitch,S7,Hotswap_MX_1.00u,,1
Keyswitch,S36,Hotswap_MX_1.25u,,1
Keyswitch,S30,Hotswap_MX_1.00u,,1
Keyswitch,S2,Hotswap_MX_1.00u,,1
Keyswitch,S27,Hotswap_MX_1.00u,,1
Keyswitch,S9,Hotswap_MX_1.00u,,1
Keyswitch,S10,Hotswap_MX_1.00u,,1
Keyswitch,S1,Hotswap_MX_1.00u,,1
Keyswitch,S13,Hotswap_MX_1.50u,,1
Keyswitch,S17,Hotswap_MX_1.00u,,1
TestPoint,TP6,PinHeader_1x01_P2.54mm_Vertical,,1
Keyswitch,S23,Hotswap_MX_1.25u,,1
TestPoint,TP4,PinHeader_1x01_P2.54mm_Vertical,,1
Keyswitch,S21,Hotswap_MX_1.00u,,1
Keyswitch,S31,Hotswap_MX_1.25u,,1
Keyswitch,S28,Hotswap_MX_1.25u,,1
Keyswitch,S24,Hotswap_MX_1.00u,,1
Keyswitch,S35,Hotswap_MX_2.75u,,1
Keyswitch,S26,Hotswap_MX_1.00u,,1
TestPoint,TP5,PinHeader_1x01_P2.54mm_Vertical,,1
Keyswitch,S11,Hotswap_MX_1.00u,,1
TestPoint,TP2,PinHeader_1x01_P2.54mm_Vertical,,1
Keyswitch,S4,Hotswap_MX_1.00u,,1
TestPoint,TP3,PinHeader_1x01_P2.54mm_Vertical,,1
Keyswitch,S12,Hotswap_MX_1.00u,,1
Keyswitch,S14,Choc_V1_1.75u,,1
Keyswitch,S20,Hotswap_MX_1.00u,,1
Keyswitch,S19,Hotswap_MX_1.00u,,1
TestPoint,TP1,PinHeader_1x01_P2.54mm_Vertical,,1
Keyswitch,S22,Hotswap_MX_1.00u,,1
Keyswitch,S15,Hotswap_MX_1.00u,,1
Keyswitch,S16,Hotswap_MX_1.00u,,1
Keyswitch,S29,Hotswap_MX_1.00u,,1
Keyswitch,S34,Hotswap_MX_2.25u,,1
Jumper_2_Bridged,JP2,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,,1
Diode,D11,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D9,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D24,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D12,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D25,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D3,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D22,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D33,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D7,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D30,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D14,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D15,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D16,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D1,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D6,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D17,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D37,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D28,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D36,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D18,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D34,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D21,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D19,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Jumper_2_Bridged,JP1,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,,1
Diode,D35,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D10,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D31,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D23,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D29,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D4,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D20,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D8,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D27,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D26,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D2,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D32,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D5,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D13,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Diode,D38,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
Jumper_2_Bridged,JP3,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,,1
