Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,40.71975,-73.367,0.0,bottom
D10,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,74.27975,-73.287,0.0,bottom
D11,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,77.17975,-92.397,0.0,bottom
D12,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,70.10725,-111.36825,0.0,bottom
D13,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,79.42725,-130.56825,0.0,bottom
D14,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,65.56975,-149.127,0.0,bottom
D15,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,83.46975,-54.277,0.0,bottom
D16,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,94.02975,-73.167,0.0,bottom
D17,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,97.95975,-92.327,0.0,bottom
D18,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,90.76975,-111.497,0.0,bottom
D19,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,103.24975,-54.240419,0.0,bottom
D2,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,49.55975,-92.437,0.0,bottom
D20,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,113.34975,-73.227,0.0,bottom
D21,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,115.39975,-92.507,0.0,bottom
D22,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,107.05975,-111.417,0.0,bottom
D23,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,105.88975,-130.527,0.0,bottom
D24,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,122.14975,-54.307,0.0,bottom
D25,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,133.12975,-73.287,0.0,bottom
D26,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,135.72975,-92.367,0.0,bottom
D27,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,126.68975,-111.517,0.0,bottom
D28,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,126.84725,-130.54825,0.0,bottom
D29,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,141.50975,-54.240419,0.0,bottom
D3,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,41.24975,-149.317,0.0,bottom
D30,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,151.72975,-73.327,0.0,bottom
D31,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,153.57975,-130.367,0.0,bottom
D32,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,170.47975,-54.247,0.0,bottom
D33,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,173.58975,-73.347,0.0,bottom
D34,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,167.52975,-92.347,0.0,bottom
D35,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,163.42975,-111.447,0.0,bottom
D36,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,175.16975,-130.329419,0.0,bottom
D37,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,114.2385,-43.8545,90.0,bottom
D38,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,78.29975,-143.157,0.0,bottom
D4,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,45.76975,-54.337,0.0,bottom
D5,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,55.60975,-73.227,0.0,bottom
D6,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,60.62975,-92.347,0.0,bottom
D7,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,51.83975,-111.547,0.0,bottom
D8,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,48.56725,-130.43825,0.0,bottom
D9,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,64.99975,-54.287,0.0,bottom
LED1,LED_SK6812MINI,LED_SK6812MINI,36.93475,-59.768,0.0,bottom
LED10,LED_SK6812MINI,LED_SK6812MINI,75.01475,-59.768,0.0,bottom
LED11,LED_SK6812MINI,LED_SK6812MINI,79.77475,-78.808,180.0,bottom
LED12,LED_SK6812MINI,LED_SK6812MINI,70.25475,-97.848,0.0,bottom
LED13,LED_SK6812MINI,LED_SK6812MINI,79.77225,-116.888,180.0,bottom
LED14,LED_SK6812MINI,LED_SK6812MINI,65.91225,-134.913,0.0,bottom
LED15,LED_SK6812MINI,LED_SK6812MINI,84.52975,-40.718,180.0,bottom
LED16,LED_SK6812MINI,LED_SK6812MINI,94.05475,-59.768,0.0,bottom
LED17,LED_SK6812MINI,LED_SK6812MINI,98.81475,-78.808,180.0,bottom
LED18,LED_SK6812MINI,LED_SK6812MINI,89.29475,-97.848,0.0,bottom
LED19,LED_SK6812MINI,LED_SK6812MINI,103.56975,-40.718,180.0,bottom
LED2,LED_SK6812MINI,LED_SK6812MINI,41.69475,-78.808,180.0,bottom
LED20,LED_SK6812MINI,LED_SK6812MINI,113.09475,-59.768,0.0,bottom
LED21,LED_SK6812MINI,LED_SK6812MINI,117.85475,-78.808,180.0,bottom
LED22,LED_SK6812MINI,LED_SK6812MINI,108.33475,-97.848,0.0,bottom
LED23,LED_SK6812MINI,LED_SK6812MINI,105.9535,-116.888,180.0,bottom
LED24,LED_SK6812MINI,LED_SK6812MINI,122.60975,-40.718,180.0,bottom
LED25,LED_SK6812MINI,LED_SK6812MINI,132.13475,-59.768,0.0,bottom
LED26,LED_SK6812MINI,LED_SK6812MINI,136.89475,-78.808,180.0,bottom
LED27,LED_SK6812MINI,LED_SK6812MINI,127.37475,-97.848,0.0,bottom
LED28,LED_SK6812MINI,LED_SK6812MINI,129.7535,-116.888,180.0,bottom
LED29,LED_SK6812MINI,LED_SK6812MINI,141.64975,-40.718,180.0,bottom
