Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,Diode,Diode_DO-35,40.87975,-73.330419,0.0,bottom
D10,Diode,Diode_DO-35,74.42975,-73.280419,0.0,bottom
D11,Diode,Diode_DO-35,77.13975,-92.380419,0.0,bottom
D12,Diode,Diode_DO-35,70.44975,-111.330419,0.0,bottom
D13,Diode,Diode_DO-35,79.88975,-130.500419,0.0,bottom
D14,Diode,Diode_DO-35,65.79975,-148.950419,0.0,bottom
D15,Diode,Diode_DO-35,83.76975,-54.180419,0.0,bottom
D16,Diode,Diode_DO-35,93.95975,-73.220419,0.0,bottom
D17,Diode,Diode_DO-35,98.15975,-92.320419,0.0,bottom
D18,Diode,Diode_DO-35,90.86975,-111.410419,0.0,bottom
D19,Diode,Diode_DO-35,103.44975,-54.240419,0.0,bottom
D2,Diode,Diode_DO-35,49.60975,-92.440419,0.0,bottom
D20,Diode,Diode_DO-35,113.25975,-73.260419,0.0,bottom
D21,Diode,Diode_DO-35,115.31975,-92.470419,0.0,bottom
D22,Diode,Diode_DO-35,107.39975,-111.360419,0.0,bottom
D23,Diode,Diode_DO-35,105.94975,-130.470419,0.0,bottom
D24,Diode,Diode_DO-35,122.44975,-54.220419,0.0,bottom
D25,Diode,Diode_DO-35,133.09975,-73.310419,0.0,bottom
D26,Diode,Diode_DO-35,135.93975,-92.320419,0.0,bottom
D27,Diode,Diode_DO-35,127.03975,-111.440419,0.0,bottom
D28,Diode,Diode_DO-35,126.81975,-130.450419,0.0,bottom
D29,Diode,Diode_DO-35,141.51975,-54.240419,0.0,bottom
D3,Diode,Diode_DO-35,41.32975,-149.000419,0.0,bottom
D30,Diode,Diode_DO-35,151.61975,-73.240419,0.0,bottom
D31,Diode,Diode_DO-35,153.32975,-130.250419,0.0,bottom
D32,Diode,Diode_DO-35,170.53975,-54.260419,0.0,bottom
D33,Diode,Diode_DO-35,173.72975,-73.330419,0.0,bottom
D34,Diode,Diode_DO-35,167.92975,-92.250419,0.0,bottom
D35,Diode,Diode_DO-35,163.53975,-111.390419,0.0,bottom
D36,Diode,Diode_DO-35,175.35975,-130.330419,0.0,bottom
D37,Diode,Diode_DO-35,114.20975,-43.650419,90.0,bottom
D4,Diode,Diode_DO-35,47.32975,-54.310419,0.0,bottom
D5,Diode,Diode_DO-35,55.70975,-73.220419,0.0,bottom
D6,Diode,Diode_DO-35,60.75975,-92.350419,0.0,bottom
D7,Diode,Diode_DO-35,51.97975,-111.440419,0.0,bottom
D8,Diode,Diode_DO-35,48.93975,-130.420419,0.0,bottom
D9,Diode,Diode_DO-35,65.23975,-54.170419,0.0,bottom
LED1,LED_SK6812MINI,LED_SK6812MINI,36.93475,-59.768,0.0,bottom
LED10,LED_SK6812MINI,LED_SK6812MINI,75.01475,-59.768,0.0,bottom
