Comment,Designator,Footprint,LCSC,Quantity
BOOT button,SW1,Button_TL3342,C115351,1
LED_SK6812MINI,"LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED2,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED3,LED30,LED31,LED32,LED33,LED34,LED35,LED4,LED5,LED6,LED7,LED8,LED9",LED_SK6812MINI,C5149201,34
LED_SK6812MINI,LED1,LED_SK6812MINI,C5242955,1
Diode,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D4,D5,D6,D7,D8,D9",D_SOD-123_DO-35_Hybrid_DoubleSided_V2,C81598,35
TestPoint,TP2,PinHeader_1x01_P2.54mm_Vertical,,1
Keyswitch,S34,Hotswap_MX_1.00u,,1
TestPoint,TP4,PinHeader_1x01_P2.54mm_Vertical,,1
Keyswitch,S17,Hotswap_MX_1.00u,,1
Keyswitch,S8,Hotswap_MX_1.00u,,1
Keyswitch,S3,Hotswap_MX_1.75u,,1
Jumper_Hight,JP2,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,,1
Keyswitch,S11,Hotswap_MX_1.00u,,1
Keyswitch,S4,Hotswap_MX_1.25u,,1
Keyswitch,S13,Hotswap_MX_1.25u,,1
Keyswitch,S16,Hotswap_MX_1.00u,,1
Pico,U1,RPi_Pico_SMD_TH,,1
Keyswitch,S21,Hotswap_MX_1.25u,,1
Keyswitch,S22,Hotswap_MX_1.00u,,1
Keyswitch,S7,Hotswap_MX_1.25u,,1
Keyswitch,S5,Hotswap_MX_2.25u,,1
Keyswitch,S27,Hotswap_MX_1.00u,,1
Keyswitch,S28,Hotswap_MX_1.00u,,1
TRRS,U2,TRRS_PJ-320A,,1
Keyswitch,S29,Choc_V1_1.00u,,1
Keyswitch,S20,Choc_V1_1.75u,,1
Keyswitch,S23,Hotswap_MX_1.00u,,1
Keyswitch,S32,Hotswap_MX_1.00u,,1
Keyswitch,S9,Hotswap_MX_1.00u,,1
Keyswitch,S2,Hotswap_MX_1.50u,,1
Keyswitch,S19,Hotswap_MX_1.00u,,1
Keyswitch,S18,Hotswap_MX_1.00u,,1
Keyswitch,S12,Hotswap_MX_1.00u,,1
Keyswitch,S10,Hotswap_MX_1.00u,,1
Keyswitch,S15,Hotswap_MX_1.00u,,1
Keyswitch,S26,Hotswap_MX_1.75u,,1
Keyswitch,S25,Hotswap_MX_1.00u,,1
Keyswitch,S30,Hotswap_MX_1.00u,,1
Keyswitch,S1,Hotswap_MX_1.00u,,1
Keyswitch,S33,Hotswap_MX_1.00u,,1
Keyswitch,S14,Hotswap_MX_1.00u,,1
TestPoint,TP1,PinHeader_1x01_P2.54mm_Vertical,,1
TestPoint,TP3,PinHeader_1x01_P2.54mm_Vertical,,1
Keyswitch,S6,Hotswap_MX_1.00u,,1
Jumper_Low,JP1,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,,1
Keyswitch,S24,Hotswap_MX_1.00u,,1
Keyswitch,S35,Hotswap_MX_1.00u,,1
Keyswitch,S31,Hotswap_MX_1.00u,,1
TP6 (reset button),TP5,PinHeader_1x01_P2.54mm_Vertical,,1
Jumper_Hight,JP3,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,,1
Schottky 1N5817,D36,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,,1
C,begin1,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,,1
C,end1,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,,1
