Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,30.354,-55.567,0.0,bottom
D10,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,68.704,-55.667,0.0,bottom
D11,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,73.244,-112.847,0.0,bottom
D12,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,78.314,-74.787,0.0,bottom
D13,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,82.884,-131.957,180.0,bottom
D14,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,83.064,-93.767,0.0,bottom
D15,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,86.6515,-55.76825,0.0,bottom
D16,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,91.344,-112.767,0.0,bottom
D17,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,94.494,-74.877,0.0,bottom
D18,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,102.114,-93.677,0.0,bottom
D19,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,106.024,-55.707,0.0,bottom
D2,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,35.4315,-74.78825,0.0,bottom
D20,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,111.5415,-151.91825,0.0,bottom
D21,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,96.403,-132.267,0.0,bottom
D22,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,111.1515,-112.76825,0.0,bottom
D23,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,115.934,-74.597,0.0,bottom
D24,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,121.284,-93.797,0.0,bottom
D25,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,121.564,-55.687,0.0,bottom
D26,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,131.0015,-132.08825,0.0,bottom
D27,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,130.364,-112.817,0.0,bottom
D28,Diode,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,135.734,-74.697,0.0,bottom
